Application_Id,Parent_Application_Id,Process_Id,Payment_Status,Objection_Status,Manufactrer_Id,Created_On,Is_Service_Completed,Request_Id_Fk,Is_Service_Submitted,Application_To_Be_Received_By,Payment_Remarks,Payment_Status_Date,Payment_Status_By,Is_Payment_Required,Application_Status,Application_Status_Updated_By,Application_Status_Updated_On,Is_Output_Generated,Output_Generated_On,Output_File_Name,Output_BlobFileReference,Output_ContainerName,Amount,Is_District_Level,LicenseType,RejectionRemarks,EsewaApplication_Id,FinalOutput_FileName,FinalOutput_BlobReference,Is_data_MOved,Deleted_Esewa_Application_Id,ReceiptNo,PaymentAmount,PaymentDate,PaymentBy,date_difference
1312,1440,51,NULL,NULL,5873,06:11.8,1,NULL,Submitted,1849201,NULL,NULL,NULL,Yes,Rejected,00:00.0,12:38.3,NULL,NULL,NULL,NULL,NULL,NULL,1,2, o form ogf goyal firm is not attached,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1313,1217,36,2,NULL,11570,17:24.1,0,NULL,Submitted,1849196,NULL,28:43.1,11570,Yes,Pending,00:00.0,19:13.5,NULL,NULL,NULL,NULL,NULL,1100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1314,7604,52,NULL,NULL,14907,00:23.0,1,NULL,Submitted,1846192,NULL,NULL,NULL,Yes,Rejected,00:00.0,45:35.2,NULL,NULL,NULL,NULL,NULL,NULL,1,1," Form O not uploaded, submit again.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1315,231,39,NULL,NULL,485,12:17.4,1,2.02E+11,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,39:24.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, Add it as product of other manufacturer because product is manufactured by your company in state other than Punjab,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1316,3872,36,2,NULL,2920,56:30.0,0,NULL,Submitted,1847609,NULL,15:06.1,2920,Yes,Pending,00:00.0,19:34.6,NULL,NULL,NULL,NULL,NULL,1000,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1317,7927,35,2,NULL,8122,55:10.3,1,NULL,Submitted,1846884,NULL,42:49.6,8122,Yes,Approved,00:00.0,08:35.6,00:00.0,34:33.7,WhatsApp Image 2021-06-02 at 1.42.14 PM_17ab138f.jpeg,2021/june/20210602/1846884_6b67ce61_fb94_44ea_b135_f9a6d3dc6146_dt_02062021_0134_34_163.jpg,agricultercontainer,1000,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68
1318,5863,51,NULL,NULL,10158,21:58.0,0,NULL,NULL,1847589,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1319,2768,36,NULL,NULL,3319,33:43.1,1,NULL,Submitted,1846046,NULL,NULL,NULL,Yes,Rejected,00:00.0,45:57.7,NULL,NULL,NULL,NULL,NULL,NULL,1,2, PLz attach Complete Affidavit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1320,2769,51,2,NULL,3320,38:47.9,1,NULL,Submitted,1846046,NULL,13:47.5,3320,Yes,Approved,00:00.0,23:25.7,00:00.0,55:39.0,1058041_c9dfbe00.pdf,2021/april/20210426/1846046_5bbbb4fd_516a_43a5_bafc_9f9e706e70e1_dt_26042021_1155_38_978.pdf,agricultercontainer,25,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31
1321,7930,33,2,NULL,8122,19:02.1,1,NULL,Submitted,1846884,NULL,31:32.0,8122,Yes,Approved,00:00.0,09:40.2,00:00.0,25:44.1,WhatsApp Image 2021-06-02 at 1.32.54 PM_24d7f17e.jpeg,2021/june/20210602/1846884_524ea53b_28c0_451c_a902_fc8087a3f4ac_dt_02062021_0125_44_506.jpg,agricultercontainer,1500,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67
1322,1653,51,2,NULL,5762,05:11.6,1,NULL,Submitted,1849201,NULL,02:58.7,5762,Yes,Approved,00:00.0,07:55.5,00:00.0,08:43.4,Kakkar trading_9b117b2a.pdf,2021/april/20210426/1849201_38d5978c_3937_4eb4_a246_759f8ec2c1c2_dt_26042021_1108_43_576.pdf,agricultercontainer,25,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30
1323,214,28,2,NULL,5718,10:29.2,1,NULL,Submitted,1849201,NULL,12:40.6,5718,Yes,Approved,00:00.0,13:54.5,00:00.0,07:02.7,sidhu pesticide_c0b420f0.pdf,2021/august/20210825/1849201_643fb722_a8a4_4b30_a45a_b5af55ebd51b_dt_25082021_0318_02_514.pdf,agricultercontainer,1000,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,151
